name,credits,code,description,prereqs,coreqs,level,dp_or_ds
Modern Application Development II,4,BSCS2006,"Building a modern application involves many different aspects: front end, recording transactions, storage, connecting to a remote server, using APIs etc. The courses Modern Application Development I and II go through all these aspects through a detailed and evolving case study, teaching the relevant programming skills as the course progresses.",BSCS2003,-,diploma,dp
PROJECT -_Modern Application Development I - Project,2,BSCS2003P,"""Modern Application Development - I project"" is a comprehensive course designed to introduce learners to the fundamentals of web application development. The course covers essential technologies such as HTML, CSS, JavaScript, Flask, API implementation, and SQLite for data storage. Learners will gain practical knowledge in building secure, efficient, and deployable web applications while understanding key concepts in web development.",-,BSCS2003,diploma,dp
PROJECT -_Modern Application Development II - Project,2,BSCS2006P,"""Modern Application Development - II project"" is an advanced course designed to build upon the foundations of web application development introduced in ""Modern Application Development - I."" The course focuses on advanced frontend technologies, such as Vue.js, to create interactive and sophisticated user interfaces.",BSCS2003P,BSCS2006,diploma,dp
Business Analytics,4,BSMS2002,"The problems faced by decision makers in today's business environments are extremely complex. Hence, the task of making good decisions is not easy. The answer is in building quantitative models, and this course is designed to help you understand the fundamentals of this critical, foundational, business skill.",BSMS2001,-,diploma,ds
PROJECT -_Business Data Management - Project,2,BSMS2001P,"BDM Capstone Project is an independent research project where the student is expected to reach out to a business firm which has excellent systems in place to handle and manage data or from an unorganized sectors which do not maintain proper records), identify the issues or the problem(s) they face, collect primary data pertaining to it, clean the data, analyze it, and provide novel/ valuable insights to the decision maker(s).",-,BSMS2001,diploma,ds
Machine Learning Techniques,4,BSCS2007,"To introduce the main methods and models used in machine learning problems of regression, classification and clustering. To study the properties of these models and methods and learn about their suitability for different problems.
",-,BSCS2004,diploma,ds
Machine Learning Practice,4,BSCS2008,"This companion course to the ML Theory course introduces the student to scikit-learn, a popular Python machine learning module, to provide hands-on problem solving experience for all the methods and models learnt in the Theory course.","BSCS2004, BSCS2007",-,diploma,ds
PROJECT -_Machine Learning Practice - Project,2,BSCS2008P,"The purpose of a machine learning project is to apply ML models learnt in ML courses, on real world data and to create an effective predictive model. Discover patterns in your data and then make predictions based on often complex findings to answer business questions, detect and analyze trends and help solve problems.
",-,BSCS2008,diploma,ds
Tools in Data Science,3,BSSE2002,"This course will teach students to use popular tools for sourcing data, transforming it, building and optimizing models, communicating these as visual stories, and deploying them in production.",-,BSCS2004,diploma,ds
Special topics in Machine Learning (Reinforcement Learning),4,BSCS4002,"To enable the student to understand the reinforcement learning paradigm, to be able to identify when an RL formulation is appropriate, to understand the basic solution approaches in RL, to implement and evaluate various RL algorithms.",BSCS300,-,diploma,ds
